,Restaurant ID,Restaurant Name,Restaurant Address,Restaurant City,Restaurant State,Restaurant ZIP,Health Inspection Score,Health Inspection Grade
176,PR0024054,ADMIRALS CLUB,400 WORLD WAY,LOS ANGELES,CA,90045,91,A
177,PR0201945,ADMIRALS CLUB,400 WORLD WAY,LOS ANGELES,CA,90045,99,A
178,PR0123458,L.A.A.C.-8TH FLOOR SNACK BAR,431 W 7TH ST,LOS ANGELES,CA,90014,98,A
179,PR0034055,DER WIENERSCHNITZEL #20,5215 N FIGUEROA ST,LOS ANGELES,CA,90042,95,A
180,PR0181290,STREET LEVEL CAFE,1166 GLENDALE BLVD,LOS ANGELES,CA,90026,93,A
181,PR0122758,FARSI CAFE,1916 WESTWOOD BLVD,LOS ANGELES,CA,90025,92,A
182,PR0190576,CAFE SOLAR,6224 W MANCHESTER AVE LOS,LOS ANGELES,CA,90045,97,A
183,PR0178047,DELICIAS BAKERY AND SOME,5567 N FIGUEROA ST,LOS ANGELES,CA,90042,93,A
184,PR0012842,CHEVRON FOOD MART #1818,10984 LE CONTE AVE,LOS ANGELES,CA,90024,94,A
185,PR0019049,TUTTI FRUTTI,312 E 11TH ST,LOS ANGELES,CA,90015,96,A
186,PR0151846,MELODY PIZZA,9146 S SEPULVEDA BLVD,LOS ANGELES,CA,90045,90,A
187,PR0003407,SUBWAY #14183,508 W 7TH ST,LOS ANGELES,CA,90014,94,A
188,PR0012807,JACK IN THE BOX # 3348,1710 GLENDALE BLVD,LOS ANGELES,CA,90026,96,A
189,PR0201986,AFTERS ICE CREAM,5711 N FIGUEROA ST,LOS ANGELES,CA,90042,99,A
190,PR0007731,ANTIGUA CULTURAL COFFEE,3400 N FIGUEROA ST,LOS ANGELES,CA,90041,98,A
191,PR0026487,TRASTEVERE RESTAURANT,6801 HOLLYWOOD BLVD STE 423,LOS ANGELES,CA,90028,93,A
192,PR0189972,KELLY'S COFFEE & FUDGE,231 E 12TH ST,LOS ANGELES,CA,90015,98,A
193,PR0015852,CVS/PHARMACY #9576,10889 WELLWORTH AVE,LOS ANGELES,CA,90024,97,A
194,PR0019365,MARIE'S COFFEE AND DELI,731 W 7TH ST,LOS ANGELES,CA,90017,91,A
195,PR0007906,LOS ALCANTRACES,3773 S WESTERN AVE,LOS ANGELES,CA,90018,95,A
196,PR0007809,LA BARBACHA,2510 E CESAR E CHAVEZ AVE,LOS ANGELES,CA,90033,90,A
197,PR0200384,THE HARVEST BAR 2,8601 LINCOLN BLVD STE 190,LOS ANGELES,CA,90045,94,A
198,PR0201188,KABAN PERSIAN RESTAURANT,3250 CAHUENGA BLVD W,LOS ANGELES,CA,90068,92,A
199,PR0014413,WALGREENS #6445,8770 W PICO BLVD,LOS ANGELES,CA,90035,95,A
200,PR0010971,WESTIN LAKEVIEW BISTRO,404 S FIGUEROA ST LBBY LOBBY,LOS ANGELES,CA,90071,94,A
201,PR0187339,PASEO SAN MIGUEL RESTAURANT,3874 S WESTERN AVE,LOS ANGELES,CA,90062,95,A
202,PR0199634,ADMIRALS CLUB,500 WORLD WAY,LOS ANGELES,CA,90045,91,A
203,PR0187337,PASEO SAN MIGUEL,1560 W MARTIN LUTHER KING JR. BLVD,LOS ANGELES,CA,90062,95,A
204,PR0148648,ROSS # 1451,1360 WESTWOOD BLVD,LOS ANGELES,CA,90024,98,A
205,PR0201018,TUSCAN SON,10700 SANTA MONICA BLVD # 150,LOS ANGELES,CA,90025,97,A
206,PR0012964,THE FAT DOG,801 N FAIRFAX AVE STE #107,LOS ANGELES,CA,90046,91,A
207,PR0010366,SANTA MONICA SHELL,11574 SANTA MONICA BLVD,LOS ANGELES,CA,90025,95,A
208,PR0188684,ANGELINI ALIMENTARI,7317 BEVERLY BLVD,LOS ANGELES,CA,90036,94,A
209,PR0153556,CAMPUS PHARMACY,100 UCLA MEDICAL PLZ # 150,LOS ANGELES,CA,90024,97,A
210,PR0180159,PROOF SUNDRY,2388 GLENDALE BLVD # A,LOS ANGELES,CA,90039,95,A
